date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:03	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-5480a1df3f1e8%22	https://www.cs.princeton.edu/robots.txt		(from )
19:22:04	16508/16508	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Mar%202020%2022:22:04%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/index.html	(from )
19:22:04	5359/5359	---M--	200	added ('OK')	text/css	etag:%2214ef-4e777cdc3aaa1%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/kleinberg-tardos.css	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/kleinberg-tardos.css	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:05	41828/41828	---M--	200	added ('OK')	image/jpeg	etag:%22a364-4e76f8728578e%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/kleinberg-tardos.jpg	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/kleinberg-tardos.jpg	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:08	335217/335217	---M--	200	added ('OK')	application/pdf	etag:%2251d71-45e52d1cc50c0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/01StableMatching.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/01StableMatching.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:09	545597/545597	---M--	200	added ('OK')	application/pdf	etag:%228533d-45e5287e36ac0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/02AlgorithmAnalysis.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/02AlgorithmAnalysis.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:11	1227764/1227764	---M--	200	added ('OK')	application/pdf	etag:%2212bbf4-45e5289425e80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/03Graphs.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/03Graphs.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:11	822540/822540	---M--	200	added ('OK')	application/pdf	etag:%22c8d0c-45e528e441b80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04MinimumSpanningTrees.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04MinimumSpanningTrees.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:12	139/139	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202020%2022:22:12%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04HuffmanCodes.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04HuffmanCodes.7.delayed	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:14	820179/820179	---M--	200	added ('OK')	application/pdf	etag:%22c83d3-45e528f383f80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/05DivideAndConquer.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/05DivideAndConquer.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:18	297474/297474	---M--	200	added ('OK')	application/pdf	etag:%2248a02-45e529589ae00%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/06BellmanFord.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/06BellmanFord.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:19	531351/531351	---M--	200	added ('OK')	application/pdf	etag:%2281b97-491e22dceb300%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/06DynamicProgramming.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/06DynamicProgramming.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:20	3352206/3352206	---M--	200	added ('OK')	application/pdf	etag:%2233268e-45e528cf46a00%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/04GreedyAlgorithms.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/04GreedyAlgorithms.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:20	839992/839992	---M--	200	added ('OK')	application/pdf	etag:%22cd138-45e529cfd0740%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07MaximumFlow.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07MaximumFlow.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:20	139/139	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202020%2022:22:20%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07MaximumFlowAppications.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07MaximumFlowAppications.d.delayed	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:23	291099/291099	---M--	200	added ('OK')	application/pdf	etag:%224711b-45e52969c5680%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07AssignmentProblem.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07AssignmentProblem.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:23	666813/666813	---M--	200	added ('OK')	application/pdf	etag:%22a2cbd-45e529dc36480%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08Intractability.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08Intractability.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:23	3777245/3777245	---M--	200	added ('OK')	application/pdf	etag:%2239a2dd-45e52952e2080%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/05Multiplication.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/05Multiplication.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:24	139/139	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202020%2022:22:24%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08NPCompleteness.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08NPCompleteness.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:26	524401/524401	---M--	200	added ('OK')	application/pdf	etag:%2280071-45e52a6a4f3c0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/09PSPACE.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/09PSPACE.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:26	1189650/1189650	---M--	200	added ('OK')	application/pdf	etag:%22122712-45e52a60c5d40%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08PolynomialTimeReductions.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08PolynomialTimeReductions.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:29	649596/649596	---M--	200	added ('OK')	application/pdf	etag:%229e97c-45e53372f8400%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/10ExtendingTractability.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/10ExtendingTractability.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:29	1344853/1344853	---M--	200	added ('OK')	application/pdf	etag:%22148555-45e52a8e8c940%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/11ApproximationAlgorithms.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/11ApproximationAlgorithms.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:29	736411/736411	---M--	200	added ('OK')	application/pdf	etag:%22b3c9b-45e52a9dced40%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/12LocalSearch.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/12LocalSearch.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:31	339436/339436	---M--	200	added ('OK')	application/pdf	etag:%2252dec-45e52d19e8a00%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/01StableMatching-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/01StableMatching-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:32	548192/548192	---M--	200	added ('OK')	application/pdf	etag:%2285d60-45e5287971f80%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/02AlgorithmAnalysis-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/02AlgorithmAnalysis-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
