date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:15	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-5480a1df3f1e8%22	https://www.cs.princeton.edu/robots.txt		(from )
19:20:16	26481/26481	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Mar%202020%2022:20:16%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/	www.cs.princeton.edu/_wayne/kleinberg-tardos/index.html	(from )
19:20:16	5478/5478	---M--	200	added ('OK')	text/css	etag:%221566-4e799e94ba4fe%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/kleinberg-tardos.css	www.cs.princeton.edu/_wayne/kleinberg-tardos/kleinberg-tardos.css	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:20:17	41828/41828	---M--	200	added ('OK')	image/jpeg	etag:%22a364-4d1b73675f2fd%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/kleinberg-tardos.jpg	www.cs.princeton.edu/_wayne/kleinberg-tardos/kleinberg-tardos.jpg	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:20:22	5687468/5687468	---M--	200	added ('OK')	application/pdf	etag:%2256c8ac-56b71ffd9d1d3%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/01StableMatching.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/01StableMatching.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:20:24	3885592/3885592	---M--	200	added ('OK')	application/pdf	etag:%223b4a18-59c2eef0ce577%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/02AlgorithmAnalysis.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/02AlgorithmAnalysis.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:20:25	15300990/15300990	---M--	200	added ('OK')	application/pdf	etag:%22e9797e-59f6d09fb37f5%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsII.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsII.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:20:25	139/139	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202020%2022:20:25%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04HuffmanCodes.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04HuffmanCodes.7.delayed	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:20:26	4812420/4812420	---M--	200	added ('OK')	application/pdf	etag:%22496e84-585894e86fb0f%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/03Graphs.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/03Graphs.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:21:19	11866566/11866566	---M--	200	added ('OK')	application/pdf	etag:%22b511c6-56b7200ac4f1a%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/05DivideAndConquerI.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/05DivideAndConquerI.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:21:20	9468443/9468443	---M--	200	added ('OK')	application/pdf	etag:%22907a1b-59f6d0a039237%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsI.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsI.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:22:09	10192437/10192437	---M--	200	added ('OK')	application/pdf	etag:%229b8635-59c2ef14477b0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/06DynamicProgrammingI.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/06DynamicProgrammingI.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:22:09	17474384/17474384	---M--	200	added ('OK')	application/pdf	etag:%2210aa350-56b7200a528ac%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/05DivideAndConquerII.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/05DivideAndConquerII.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:22:10	6785347/6785347	---M--	200	added ('OK')	application/pdf	etag:%22678943-59c2ef1735dd6%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/06DynamicProgrammingII.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/06DynamicProgrammingII.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:22:13	7015203/7015203	---M--	200	added ('OK')	application/pdf	etag:%226b0b23-59c1e9a2f14c8%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/07NetworkFlowI.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/07NetworkFlowI.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
